numS,alpha,alphaErr,aGGInv,aGGInvErr,rhoVpA,rhoVpAErr,cVpA,cVpAErr,chi,chiDof,edm,sSet,weight
1,0.323997098880328,0.0303775125883862,0.021,0,-0.309808075633634,0.982138449137207,-0.0505922658751322,4.65125771184374,1.78518717742245e-08,-8.92593588711225e-09,1.78340073040534e-08,[3.1572314596],1
2,0.331172135637241,0.0173937670666981,0.021,0,-0.387363067226994,0.721356705732345,0.700652005016394,2.85216653699331,1.99975261936621e-05,-1.99975261936621e-05,9.32049519511781e-06,[3.1572314596 3],1
