numS,alpha,alphaErr,aGGInv,aGGInvErr,rhoVpA,rhoVpAErr,cVpA,cVpAErr,chi,chiDof,edm,sSet,weight
1,0.323997098880328,0.0303775125883862,0.021,0,-0.309808075633634,0.982138449137207,-0.0505922658751322,4.65125771184374,1.78518717742245e-08,-8.92593588711225e-09,1.78340073040534e-08,[3.1572314596],1
2,0.331172135637241,0.0173937670666981,0.021,0,-0.387363067226994,0.721356705732345,0.700652005016394,2.85216653699331,1.99975261936621e-05,-1.99975261936621e-05,9.32049519511781e-06,[3.1572314596 3],1
3,0.342102584227023,0.0899646983261312,0.021,0,-1.51504345575287,7.49757776312146,-2.85504797546827,20.5994151457246,0.00622276237227795,inf,0.0016361812167609,[3.1572314596 3 2.8],1
4,0.339613217374677,0.0152141757526173,0.021,0,-1.30840940174374,1.02392537173868,-2.2835242795736,2.46526310446072,0.00758524928138155,0.00758524928138155,3.09165372119477e-05,[3.1572314596 3 2.8 2.6],1
5,0.33375561473411,0.00702368095918675,0.021,0,-0.90233814848223,0.386759522079022,-1.2826435559961,0.833239103539089,0.196337619827037,0.0981688099135187,1.59646632530796e-06,[3.1572314596 3 2.8 2.6 2.4],1
6,0.330111057081672,0.00522487689720971,0.021,0,-0.681932007774712,0.253149641138497,-0.782488296438922,0.507091254182101,0.74566034150223,0.24855344716741,0.000899527016198048,[3.1572314596 3 2.8 2.6 2.4 2.3],1
7,0.330603972645351,0.00440956392772502,0.021,0,-0.7080861775859,0.198183443300472,-0.83778566083065,0.377190609406456,0.77077346705164,0.19269336676291,0.00065183619484656,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2],1
8,0.325501590333766,0.00388660852480005,0.021,0,-0.426476803200885,0.156472250919751,-0.247227673586929,0.28374448040166,6.50676533568185,1.30135306713637,3.32360233398846e-07,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2 2.1],1
9,0.323260954011728,0.00338095096212355,0.021,0,-0.314886941787332,0.12219791262044,-0.0265243879568265,0.209774499528235,7.84697248355224,1.30782874725871,2.89138926298745e-08,[3.1572314596 3 2.8 2.6 2.4 2.3 2.2 2.1 2],1
