alpha 	 alpha_error 	 aGGInv 	 aGGinv_error 	 rhoVpA 	 rhoVpA_error 	 c8VpA 	 c8VpA_error 	 chi2 	 edm
0.323997098880328	0.0303775125883862	0.021	0	-0.309808075633634	0.982138449137207	-0.0505922658751322	4.65125771184374		1.78518717742245e-08	1.78340073040534e-08
0.331276888718922	0.0173867176017362	0.021	0	-0.388243903569252	0.721361285218347	0.712134270785602	2.85223835797897		1.04151165832891e-10	1.0397366435732e-10
0.357536583885018	0.200818536613812	0.021	0	-2.82598839570017	17.3506124773368	-6.4051531149148	46.3738723075448		1.47719928690965e-06	1.43597768491015e-06
0.339657631453797	0.0152398424121108	0.021	0	-1.3119737955906	1.02575206075252	-2.29239913931399	2.46938466297701		0.00755432819347007	2.21675122454396e-08
0.33375561473411	0.00702368095918675	0.021	0	-0.90233814848223	0.386759522079022	-1.2826435559961	0.833239103539089		0.196337619827037	1.59646632530796e-06
0.330250862376039	0.00520699225936614	0.021	0	-0.687868300835962	0.252290234415286	-0.793178648373137	0.505225703602649		0.744762649236691	1.99253085346083e-07
0.330686940930085	0.00441869512712686	0.021	0	-0.712703004831829	0.198638761403118	-0.846746868550004	0.37793786714469		0.770132740055942	1.12767239259232e-05
0.325501590333766	0.00388660852480005	0.021	0	-0.426476803200885	0.156472250919751	-0.247227673586929	0.28374448040166		6.50676533568185	3.32360233398846e-07
0.323260954011728	0.00338095096212355	0.021	0	-0.314886941787332	0.12219791262044	-0.0265243879568265	0.209774499528235		7.84697248355224	2.89138926298745e-08
0.308072817930825	0.00361235912842548	0.021	0	0.203240597246964	0.121735740944122	0.872672739646934	0.215253337845654		3246.51409484413	1.08844476832833e-07
0.323997098880328	0.0303775125883862	0.021	0	-0.309808075633634	0.982138449137207	-0.0505922658751322	4.65125771184374		1.78518717742245e-08	1.78340073040534e-08
0.331276888718922	0.0173867176017362	0.021	0	-0.388243903569252	0.721361285218347	0.712134270785602	2.85223835797897		1.04151165832891e-10	1.0397366435732e-10
